id,price,area,rooms,energyRating,pricePerM2,bairro,priceOffset,lat,lon,url
1534625,399900,120,3,E,3332.00,sao domingos de benfica,0.63,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t3-lisboa/i1534625
1536683,399900,76,2,E,5261.00,sao domingos de benfica,0.99,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t2-lisboa/i1536683
1357641,318000,85,2,B,3741.00,sao domingos de benfica,0.71,38.74253000,-9.17759000,https://supercasa.pt/venda-apartamento-t2-lisboa/i1357641
1557952,1290000,191,3,C,6753.00,sao domingos de benfica,1.27,38.74574660,-9.17551300,https://supercasa.pt/venda-penthouse-t3-lisboa/i1557952
1535896,349900,67,2,D,5222.00,sao domingos de benfica,0.99,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t2-lisboa/i1535896
1554842,279900,49,1,D,5712.00,sao domingos de benfica,1.08,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t1-lisboa/i1554842
1516484,419900,60,3,E,6998.00,sao domingos de benfica,1.32,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t3-lisboa/i1516484
1554366,399900,65,2,E,6152.00,sao domingos de benfica,1.16,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t2-lisboa/i1554366
1594225,349900,70,2,D,4998.00,sao domingos de benfica,0.94,38.74657000,-9.17989000,https://supercasa.pt/venda-apartamento-t2-lisboa/i1594225
1594284,429900,87,3,E,4941.00,sao domingos de benfica,0.93,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t3-lisboa/i1594284
1448501,235000,67,2,P,3507.00,sao domingos de benfica,0.66,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t2-lisboa/i1448501
1174308,279900,48,1,C,5831.00,sao domingos de benfica,1.10,38.74487000,-9.17992000,https://supercasa.pt/venda-apartamento-t1-lisboa/i1174308
1604156,568400,137,3,C,4148.00,sao domingos de benfica,0.78,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t3-lisboa/i1604156
1448497,255000,79,3,P,3227.00,sao domingos de benfica,0.61,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t3-lisboa/i1448497
1408159,823000,173,3,C,4757.00,sao domingos de benfica,0.90,38.74872750,-9.17309682,https://supercasa.pt/venda-apartamento-t3-lisboa/i1408159
1608652,279900,48,1,C,5831.00,sao domingos de benfica,1.10,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t1-lisboa/i1608652
1534497,399900,115,3,E,3477.00,sao domingos de benfica,0.66,38.74657000,-9.17989000,https://supercasa.pt/venda-apartamento-t3-lisboa/i1534497
1448499,235000,67,2,P,3507.00,sao domingos de benfica,0.66,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t2-lisboa/i1448499
1604307,369000,87,3,D,4241.00,sao domingos de benfica,0.80,38.73904000,-9.16188000,https://supercasa.pt/venda-apartamento-t3-lisboa/i1604307
1383403,279900,50,1,D,5598.00,sao domingos de benfica,1.06,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t1-lisboa/i1383403
1489140,255000,88,4,E,2897.00,sao domingos de benfica,0.55,38.74574660,-9.17551300,https://supercasa.pt/venda-apartamento-t4-lisboa/i1489140
